,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
434,Carballo,ES,49.93,43.21,-8.69,53,0,6.93
435,Mountain Home,US,41,43.13,-115.69,82,90,8.05
436,Kuching,MY,78.8,1.56,110.34,88,75,2.24
437,Havre-Saint-Pierre,CA,5,50.23,-63.6,50,20,13.87
438,Lao Cai,VN,53.28,22.48,103.95,81,0,1.23
439,Kendari,ID,75.51,-3.99,122.52,95,64,2.75
440,Nha Trang,VN,78.8,12.24,109.19,88,20,5.82
441,Seoul,KR,36.14,37.57,126.98,69,20,8.05
442,Yichun,CN,-4.64,47.72,128.88,52,24,6.11
443,Verkhoyansk,RU,-49.51,67.55,133.39,0,32,2.57
444,Sapele,NG,91.93,5.89,5.68,63,12,6.71
445,Rameswaram,IN,81.22,9.28,79.3,97,0,21.54
446,Kamenka,RU,17.77,53.19,44.05,87,88,7.9
447,Gouyave,GD,84.2,12.16,-61.73,66,75,18.34
448,Paka,HR,46.4,45.29,18.06,100,75,10.29
449,Nome,US,60.48,30.04,-94.42,95,90,4.7
450,Verkhnyaya Inta,RU,-8.2,65.99,60.32,65,0,6.71
451,Fort Nelson,CA,-25.61,58.81,-122.69,74,20,4.7
452,Dekar,BW,90.76,-21.53,21.93,41,8,4.54
453,Antofagasta,CL,71.6,-23.65,-70.4,73,40,9.17
454,Cockburn Town,TC,77.53,21.46,-71.14,100,64,17.18
455,Guozhen,CN,39.06,29.3,113.14,89,0,5.82
456,Amahai,ID,84.55,-3.31,129,99,64,10.02
457,Lensk,RU,-33.89,60.71,114.91,0,44,9.13
458,Carauari,BR,83.02,-4.88,-66.9,83,64,4.7
459,Lagunas,PE,76.72,-5.23,-75.68,97,80,1.79
460,Polunochnoye,RU,-14.86,60.87,60.43,68,64,7.9
461,Chakwal,PK,45.49,32.93,72.86,77,0,3.31
462,Smithers,CA,-23.81,54.78,-127.17,82,5,7.05
463,Guerrero Negro,MX,58.5,27.97,-114.04,96,92,8.12
464,Waterloo,CA,38.41,43.47,-80.52,93,90,10.29
465,Dera Bugti,PK,54.94,29.03,69.15,90,0,2.3
466,Paamiut,GL,26.73,61.99,-49.67,100,56,8.5
467,Iqaluit,CA,-5.81,63.75,-68.52,76,75,10.29
468,Inuvik,CA,-16.46,68.36,-133.71,57,5,11.41
469,Nalut,LY,53.91,31.86,10.98,44,0,15.43
470,Havoysund,NO,14,71,24.66,61,0,48.32
471,Iskateley,RU,-27.55,67.68,53.15,0,0,3.24
472,Nemuro,JP,33.52,43.32,145.57,93,64,12.15
473,San Isidro,PH,71.1,16.74,121.63,98,76,2.98
474,Shubarshi,KZ,7.2,48.59,57.19,69,32,3.24
475,Oranjestad,AW,78.61,12.52,-70.03,95,0,22.32
476,Ibra,OM,66.33,22.69,58.55,75,76,3.36
477,Pavlodar,KZ,-9.41,52.28,76.96,76,90,8.95
478,Grande Prairie,CA,-36.41,55.17,-118.79,65,20,5.82
479,Amga,RU,-26.42,60.89,131.98,40,76,4.47
480,Yar-Sale,RU,-20.26,66.83,70.83,92,56,11.07
481,Bryan,US,60.75,30.67,-96.37,99,90,10.29
482,Nichinan,JP,62.68,31.65,131.31,100,76,11.07
483,Tonantins,BR,81.58,-2.86,-67.77,90,64,3.76
484,Rome,IT,51.71,41.89,12.48,71,40,6.93
485,Shitanjing,CN,6.03,39.23,106.34,61,0,4.03
486,Pacsa,HU,48.2,46.72,17.01,81,75,5.82
487,Bachaquero,VE,83.83,9.96,-71.12,80,0,1.86
488,Araouane,ML,83.43,18.9,-3.53,24,20,6.89
489,Port Hedland,AU,84.2,-20.31,118.58,89,0,12.75
490,Manapparai,IN,80.6,10.61,78.42,61,20,11.41
491,Aklavik,CA,-14.64,68.22,-135.01,74,40,5.82
492,Tarnos,FR,47.01,43.54,-1.46,65,0,6.93
493,Alofi,NU,73.4,-19.06,-169.92,88,76,5.82
494,Syracuse,US,34.9,43.05,-76.15,80,90,6.93
495,Mandalgovi,MN,0.18,45.76,106.27,54,0,14.05
496,Bara,NG,96.61,10.41,10.6,18,0,6.82
497,Neustadt,CH,33.13,47.05,8.31,80,75,12.75
498,Talnakh,RU,-27.77,69.49,88.39,44,8,7.38
499,ChengDe,CN,11.65,40.97,117.93,30,0,4.76
500,Birao,CF,97.6,10.3,22.78,21,0,11.52
501,Buala,SB,79.42,-8.15,159.59,100,68,4.54
502,Nanortalik,GL,27.36,60.14,-45.24,100,76,16.96
503,Potam,MX,59.16,27.6,-110.38,87,75,4.09
504,Kampot,KH,78.85,10.62,104.18,88,0,1.12
505,Minot,US,-5.3,48.23,-101.3,74,90,18.34
506,Ljungby,SE,29.35,56.83,13.94,92,75,8.05
507,Mutsu,JP,40.63,41.29,141.2,100,92,11.14
508,Thunder Bay,CA,10.4,48.41,-89.26,92,90,5.82
509,Kyren,RU,-23.63,51.68,102.13,29,24,2.75
510,Vila Franca do Campo,PT,62.6,37.72,-25.43,82,40,16.11
511,Daru,SL,92.43,7.99,-10.85,48,32,4.88
512,Gazli,UZ,47.92,40.13,63.45,81,44,8.79
513,Pingliang,CN,19.98,35.54,106.68,74,68,3.69
514,Baculin,PH,73.53,7.45,126.58,100,56,6.89
515,Atar,MR,79.11,20.52,-13.05,20,12,5.21
516,Kishtwar,IN,17.59,33.31,75.77,68,0,2.3
517,Spitak,AM,30.2,40.83,44.27,68,36,1.12
518,Trelew,AR,87.52,-43.25,-65.31,28,0,8.39
519,Dingle,PH,74.65,11,122.67,84,0,12.15
520,Martigues,FR,44.96,43.41,5.05,100,40,36.91
521,Eyl,SO,77.35,7.98,49.82,85,0,18.34
522,Yuanping,CN,11.29,38.72,112.71,28,0,4.09
523,Ust-Nera,RU,-38.98,64.57,143.24,0,12,2.01
524,Poum,MK,48.46,41.28,20.71,73,100,6.11
525,Outjo,NA,80.23,-20.11,16.16,74,32,4.09
526,Beroroha,MG,84.46,-21.68,45.17,79,44,4.76
527,Northam,GB,45.36,51.04,-4.21,75,40,8.05
528,Grandview,US,53.83,38.89,-94.53,93,90,6.93
529,Cachoeira do Sul,BR,77.8,-30.05,-52.89,76,24,14.83
530,Bhadrak,IN,69.61,21.06,86.51,45,0,8.79
531,Gorontalo,ID,74.38,0.54,123.06,92,76,2.35
532,Gizo,IL,65.16,31.8,34.94,52,0,4.7
533,Ulladulla,AU,71.6,-35.36,150.48,100,8,3.36
534,Vigrestad,NO,35.6,58.57,5.7,80,40,4.7
535,Sept-Iles,CA,6.8,50.2,-66.38,46,20,12.75
536,Alpena,US,36.19,45.06,-83.43,100,90,8.57
537,Bandarbeyla,SO,76.5,9.49,50.81,100,8,16.33
538,Mujiayingzi,CN,11.25,42.12,118.78,24,0,8.61
539,Sakaraha,MG,82.35,-22.91,44.53,59,8,3.47
540,Camacha,PT,61.84,33.08,-16.33,55,75,13.87
541,Debre Sina,ET,68.35,9.85,39.76,19,0,2.35
542,Churapcha,RU,-28.85,62,132.43,46,80,3.36
543,Puerto Leguizamo,CO,71.86,-0.19,-74.78,100,92,2.8
544,Necochea,AR,65.7,-38.55,-58.74,100,0,4.7
545,Kuybysheve,UA,40.5,47.36,36.65,93,76,9.57
546,Znamenskoye,RU,-26.6,57.13,73.82,42,0,6.49
547,Acapulco,MX,77,16.86,-99.88,65,5,5.82
548,Prado,BR,82.3,-17.34,-39.22,94,24,10.8
549,Remontnoye,RU,24.8,46.56,43.66,92,68,2.24
550,Zeya,RU,-25.3,53.74,127.27,36,24,2.3
551,Bertoua,CM,90.22,4.58,13.68,51,12,4.47
552,Saint-Francois,FR,37.4,46.42,3.91,95,75,11.41
553,Yakeshi,CN,-19.45,49.28,120.73,26,0,11.92
554,Zaysan,KZ,10.66,47.47,84.87,83,88,1.23
555,Ojinaga,US,57.02,29.56,-104.41,46,1,2.53
556,Palmer,AU,68,-34.85,139.16,68,0,13.87
557,Salinopolis,BR,78.21,-0.61,-47.36,100,92,13.65
558,Porto Belo,BR,77.83,-27.15,-48.54,74,40,12.75
559,Irmo,US,52.9,34.09,-81.18,71,90,3.36
560,Kitimat,CA,3.2,54.02,-128.69,54,20,13.87
561,Sar-e Pul,AF,40,36.22,65.93,98,92,2.01
562,Dourados,BR,91.71,-22.22,-54.81,58,8,4.7
563,Ixtapa,MX,60.8,20.71,-105.21,100,40,4.7
564,Longyan,CN,57.6,25.1,117.03,92,56,1.23
565,Abu Samrah,SY,52.2,35.3,37.18,65,0,5.37
566,Jiayuguan,CN,-9.86,39.77,98.29,40,0,2.35
567,Coquimbo,CL,66.2,-29.95,-71.34,82,75,9.17
568,Clifton,AU,66.2,-27.93,151.91,88,0,8.05
569,Ajdabiya,LY,77.89,30.75,20.22,19,20,15.1
570,Dongsheng,CN,37.39,29.72,112.52,74,0,4.47
571,Picayune,US,59.63,30.53,-89.68,91,90,3.47
572,Asyut,EG,66.2,27.18,31.19,45,0,4.7
573,Moron,VE,82.4,10.49,-68.2,61,40,3.47
574,Umm Lajj,SA,75.15,25.02,37.27,68,0,7.49
575,Kaoma,ZM,79.06,-14.8,24.8,61,32,7.27
576,Burnie,AU,66.64,-41.05,145.91,95,100,14.54
577,Ligayan,PH,81.4,4.65,119.47,98,20,12.93
578,Fremont,US,53.91,37.55,-121.99,87,75,12.75
579,Ulaanbaatar,MN,-16.61,47.92,106.92,56,0,6.71
580,Salto,UY,73.4,-31.39,-57.96,60,75,13.87
581,Jinchang,CN,-9.91,38.52,102.19,41,0,4.32
582,Oudtshoorn,ZA,68,-33.59,22.2,94,90,24.16
583,Otukpo,NG,98.68,7.19,8.13,38,8,4.32
584,Bulembu,SZ,78.42,-25.95,31.13,77,88,8.05
585,Lahaina,US,67.37,20.87,-156.68,92,20,7.56
586,Dunda,IN,32.35,30.62,78.32,89,0,2.75
587,Dandong,CN,20.25,40.12,124.37,31,0,11.07
588,Teguldet,RU,-43.21,57.31,88.17,0,0,2.98
589,Glace Bay,CA,17.6,46.2,-59.96,61,40,13.87
590,Srandakan,ID,73.21,-7.94,110.25,98,76,2.57
591,Barrhead,CA,-22.01,54.12,-114.4,67,90,11.41
592,Port-Cartier,CA,6.8,50.03,-66.88,46,20,12.75
593,Ryotsu,JP,49.18,38.08,138.43,100,92,15.17
594,Bonavista,CA,18.9,48.65,-53.11,100,0,21.65
595,Marabba,SD,93.19,12.35,32.18,32,0,8.01
596,Canico,PT,61.56,32.63,-16.85,55,40,17.22
597,Imbituba,BR,77,-28.24,-48.67,73,75,13.87
598,Prince Rupert,CA,10.4,54.32,-130.32,51,1,11.41
599,Richards Bay,ZA,78.3,-28.77,32.06,82,88,8.9
600,Hedaru,TZ,84.55,-4.5,37.91,46,80,4.21
601,Santa Isabel do Rio Negro,BR,78.3,-0.41,-65.02,98,56,4.09
602,Tateyama,JP,48.19,36.66,137.31,95,92,8.5
603,Eureka,US,47.21,40.8,-124.16,92,90,3.36
604,Toamasina,MG,82.4,-18.17,49.38,69,20,5.82
605,Am Timan,TD,102.15,11.04,20.28,15,0,9.57
606,Rio Gallegos,AR,73.4,-51.62,-69.22,43,0,21.92
607,Sinegorye,RU,-21.65,62.09,150.53,28,48,2.01
608,Dingzhou,CN,28.4,38.51,115,33,0,2.24
609,Sortavala,RU,18.45,61.7,30.69,94,92,21.81
610,Nuuk,GL,24.8,64.17,-51.74,35,40,12.75
611,Dicabisagan,PH,73.66,17.08,122.42,100,92,8.5
612,Muriwai Beach,NZ,62.6,-36.82,174.45,82,0,4.7
613,Hobyo,SO,77.98,5.35,48.53,73,0,17.56
614,Dauphin,CA,-14.81,51.15,-100.04,68,75,12.75
615,Seymchan,RU,-12.83,62.93,152.39,58,68,12.03
616,Sri Aman,MY,77,1.24,111.46,94,36,2.68
617,Parati,BR,87.8,-20.51,-54.63,48,0,3.36
618,Praia,BR,88.24,-20.25,-43.81,52,8,2.75
619,Tazovskiy,RU,-19.36,67.47,78.7,29,0,13.15
620,Gamba,CN,-12.65,28.28,88.52,44,0,4.54
621,Uige,AO,87.8,-7.61,15.06,52,20,6.93
622,Pontian Kecil,MY,80.62,1.48,103.39,88,75,3.36
623,Koumac,NC,76.54,-20.56,164.28,91,80,7.56
624,Garden City,US,38.43,40.73,-73.63,59,1,6.89
625,Puerto Escondido,MX,80.91,15.86,-97.07,100,0,5.59
626,Kloulklubed,PW,78.8,7.04,134.26,88,75,9.17
627,Sisophon,KH,85.81,13.59,102.97,65,80,2.86
628,Greer,US,51.39,34.94,-82.23,76,75,6.93
629,Yeniseysk,RU,-38.98,58.45,92.17,0,0,4.25
630,Donskoye,RU,37.4,45.45,41.98,93,75,6.71
631,Chicama,PE,76.41,-7.84,-79.15,87,20,3.53
632,Kinna,SE,26.6,57.51,12.69,79,40,3.36
633,Tual,ID,83.74,-5.67,132.75,99,48,15.1
634,Yamada,JP,64.4,36.58,137.08,59,75,25.28
635,Grindavik,IS,28.4,63.84,-22.43,100,75,5.82
636,Shenzhen,CN,68.58,22.54,114.05,94,0,2.24
637,Erdenet,MN,-14.18,49.03,104.04,55,32,2.3
638,Segovia,ES,45.55,40.95,-4.12,36,20,1.12
639,Melbu,NO,27.28,68.5,14.83,45,0,125.49
640,Ushtobe,KZ,8.68,45.25,77.98,62,24,2.68
641,Belmonte,PT,46.75,40.36,-7.35,61,0,5.7
642,Togur,RU,-41.54,58.36,82.83,0,8,2.86
643,Kutum,SD,85.5,14.2,24.66,21,0,9.24
644,Urengoy,RU,-19.31,65.96,78.37,29,44,11.63
645,San Vicente,SV,79.7,13.64,-88.78,48,0,5.82
646,Tromso,NO,16.3,69.65,18.96,48,0,26.4
647,Salamiyah,SY,51.52,35.01,37.05,26,0,3.47
648,Polewali,ID,78.34,-4.03,119.8,87,20,4.88
